unique_id,name_id,state_abbrev,senator_from,senator_to,senator_end_reason,sec15_sel
Gould1847,KLZ,NSW,1901-03-29,1917-06-30,Retired,0.0
Graham1867,KMI,WA,1923-07-01,1929-06-30,Defeated,0.0
Grant1857,KMP,NSW,1914-09-05,1920-06-30,Defeated,0.0
Grant1857,KMP,NSW,1923-07-01,1928-05-19,Died,0.0
Grant1878,KMK,TAS,1925-07-29,1925-11-13,Defeated,1.0
Grant1878,KMK,TAS,1932-03-03,1941-06-30,Retired,1.0
Grant1888,KMN,NSW,1944-07-01,1959-06-30,Retired,0.0
Gray1840,KMT,NSW,1904-01-01,1910-06-30,Defeated,0.0
Green,283595,QLD,2019-07-01,,,0.0
Greenwood1926,KMX,VIC,1968-02-21,1976-10-13,Died,1.0
Greig1966,86X,WA,1999-07-01,2005-06-30,Defeated,0.0
Griff1957,76760,SA,2016-07-02,,,0.0
Grimes1937,9V4,TAS,1974-05-18,1987-04-02,Resigned,0.0
Grogan,,SA,2021-09-21,,,1.0
Guilfoyle1926,C7D,VIC,1971-07-01,1987-06-05,Retired,0.0
Guthrie1856,KNB,SA,1904-01-01,1921-01-20,Died,0.0
Guthrie1872,KN7,VIC,1920-07-01,1938-06-30,Defeated,0.0
Guy1860,KNN,TAS,1914-09-05,1920-06-30,Defeated,0.0
Guy1890,KFW,TAS,1949-12-10,1956-06-30,Defeated,0.0
Haines1945,1H4,SA,1977-12-14,1978-06-30,Term Expired,1.0
Haines1945,1H4,SA,1981-07-01,1990-03-01,Resigned,0.0
Hall1928,2H4,SA,1974-05-18,1977-11-16,Resigned,0.0
Hamer1923,4H4,VIC,1978-07-01,1990-06-30,Retired,0.0
Hannaford1903,KNR,SA,1949-12-10,1967-10-24,Died,0.0
Hannan1873,KGG,VIC,1924-07-22,1925-11-13,Defeated,1.0
Hannan1910,KNU,VIC,1956-08-28,1965-06-30,Defeated,1.0
Hannan1910,KNU,VIC,1970-11-21,1974-05-18,Defeated,0.0
Hanson1954,BK6,QLD,2016-07-02,,,1.0
HansonYoung1981,I0U,SA,2008-07-01,,,0.0
Hardy1898,KNZ,NSW,1932-07-01,1938-06-30,Defeated,0.0
Harney1865,KO8,WA,1901-03-29,1903-12-31,Retired,0.0
Harradine1935,6H4,TAS,1975-12-13,2005-06-30,Retired,0.0
Harris1890,232369,WA,1947-07-01,1951-04-28,Defeated,0.0
Harris1890,232369,WA,1953-07-01,1959-06-30,Retired,0.0
Harris1943,8HC,QLD,1999-07-02,2005-06-30,Defeated,0.0
Hayes1868,KOF,TAS,1923-09-12,1947-06-30,Retired,1.0
Hays1869,KOJ,TAS,1923-07-01,1947-06-30,Defeated,0.0
Hearn1921,KOM,TAS,1980-10-15,1985-06-30,Retired,1.0
Heatley1920,KOO,QLD,1966-04-14,1968-06-30,Defeated,1.0
Heffernan1943,C16,NSW,1996-09-18,2016-05-09,Retired,1.0
Henderson1857,KOS,WA,1904-01-01,1923-06-30,Defeated,0.0
Henderson1964,ZN4,VIC,2019-09-11,,,1.0
Hendrickson1897,KOU,VIC,1947-07-01,1971-06-30,Retired,0.0
Henty1903,KOW,TAS,1950-07-01,1968-06-30,Retired,0.0
Herron1932,VW4,QLD,1990-07-01,2002-09-05,Resigned,0.0
Higgs1862,KHE,QLD,1901-03-30,1906-12-31,Defeated,0.0
Hill1946,BH4,SA,1981-07-01,2006-03-15,Resigned,0.0
Hill1960,,QLD,,,,0.0
Hinch1944,2O4,VIC,2016-07-02,2019-06-30,,0.0
Hoare1874,KOZ,SA,1922-12-16,1935-06-30,Defeated,0.0
Hogg1949,7L6,QLD,1996-07-01,2014-06-30,Retired,0.0
Hughes,273828,NSW,2019-07-01,,,0.0
Hume1971,266499,VIC,2016-07-02,,,0.0
Humphries1958,KO6,ACT,2003-02-18,2013-09-06,Retired,1.0
Hurley1955,E4U,SA,2005-07-01,2011-06-30,Retired,0.0
Hutchins1956,84P,NSW,1998-10-14,2011-06-30,Defeated,1.0
Jenkins1938,IH4,WA,1987-07-11,1990-06-30,Defeated,0.0
Jessop1927,KKD,SA,1971-07-01,1987-06-05,Defeated,0.0
Johnston1880,KP8,WA,1929-07-01,1942-09-06,Died,0.0
Johnston1956,00AON,WA,2002-07-01,2016-07-02,Defeated,0.0
JonesGerry1932,LH4,QLD,1981-07-01,1996-06-30,Retired,0.0
Joyce1967,E5D,QLD,2005-07-01,2013-08-08,Resigned,0.0
KakoschkeMoore1985,265982,SA,2016-07-02,2017-11-22,Resigned,0.0
Kane1908,KPA,NSW,1970-11-21,1974-05-18,Defeated,0.0
Katz1887,KPC,VIC,1947-07-01,1951-03-19,Defeated,0.0
